QUEST_JOBSTEP_20150317_000001	Bokor. Has elegido un camino complicado.{nl}Revisa las instrucciones en el diario de aventuras y fabrica tu muñeco.
QUEST_JOBSTEP_20150317_000002	Debes crear un muñeco por tu cuenta.{nl}Revisa tu diario de aventuras para ver como fabricar un muñeco.
QUEST_JOBSTEP_20150317_000003	Felicitaciones, ha nacido un nuevo Bokor. {nl}Cuando por primera vez elegí el camino de un Bokor, comencé creando muñecos por mi cuenta.
QUEST_JOBSTEP_20150317_000004	Maestre Peltasta
QUEST_JOBSTEP_20150317_000005	Si deseas recibir mis enseñanzas, debes probar tu valor primero.{nl}Este es el desafío: Derrota algunos Vubbes en el 1er piso de la Mina de Cristal.
QUEST_JOBSTEP_20150317_000006	¿Cómo puedes llevar el título de Peltasta si ni siquiera puedes encargarte de eso?
QUEST_JOBSTEP_20150317_000007	Bien. {nl}Espero que tu nuevo conocimiento te lleve a salvar al mundo.
QUEST_JOBSTEP_20150317_000008	Maestre Montañero
QUEST_JOBSTEP_20150317_000009	Estoy muy agradecido de que quieras ser el sucesor de mis habilidades, pero sospecho que no{nl}seguiras mis enseñanzas correctamente. Te pondre a prueba haciendo que derrotes a los Vubbes{nl}que habitan en el 1er piso de la Mina de Cristal.
QUEST_JOBSTEP_20150317_000010	Apresúrate.{nl}Aunque este sea tu desafío inicial, los Vubbes son una amenaza para la Aldea de los Mineros.
QUEST_JOBSTEP_20150317_000011	Buen trabajo, has terminado tu iniciación para convertirte en un Montañero.{nl}Sigue con ese esfuerzo y dedicación.
QUEST_JOBSTEP_20150317_000012	Maestre Piromante
QUEST_JOBSTEP_20150317_000013	Puedo ver que quieres aprender magia de mí, pero no le puedo enseñar a cualquiera.{nl}Quiero ver que tal puedes ayudarme con mi investigación y entonces decidiré.
QUEST_JOBSTEP_20150317_000014	Buen trabajo. Gracias a ti puedo continuar con el siguiente paso de mi investigación.{nl}Te enseñaré la magia Piromántica tal y como prometí.
QUEST_JOBSTEP_20150317_000015	Bien, has llegado. Necesito que derrotes a los espiritus malvados que voy a invocar.{nl}Estaré registrando la única longitud de onda que se transmitirá en el proceso.
QUEST_JOBSTEP_20150317_000016	Estoy realizando una investigación sobre el 4o estado de la materia.{nl}Es imposible sin la cooperación de la Maestre Bokor, quien puede lidiar con espíritus.
QUEST_JOBSTEP_20150317_000017	Si, espléndido.{nl}Comentale al Maestre Piromante que ya tienes todos los materiales que necesitamos.
QUEST_JOBSTEP_20150317_000018	Bien. {nl}El estudio se está realizando gracias a la Maestre Bokor. Así que visitala y ella te dira que hacer.
QUEST_JOBSTEP_20150317_000019	Maestre Criomante
QUEST_JOBSTEP_20150317_000020	¿Quiéres que yo te enseñe mágica Criomante?{nl}¡Claro, te enseñaré, pero solo si puedes encargarte de algo primero!
QUEST_JOBSTEP_20150317_000021	El Maestre Piromante no debería andar cerca. {nl}Así que sera una prueba sencilla.
